分类: 📡卫视频道, 名称: 香港卫视, 有效: 0, IPv4: 12, IPv6: 0, 最小延迟: 25 ms, 最高速率: 3.56 M/s, 平均速率: 0.00 M/s, 最高分辨率: 19x24, 平均帧率: 25.00, 视频编解码器: rawvideo, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 浙江卫视, 有效: 5, IPv4: 410, IPv6: 0, 最小延迟: 120 ms, 最高速率: 9.51 M/s, 平均速率: 5.86 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.56, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 湖南卫视, 有效: 5, IPv4: 418, IPv6: 0, 最小延迟: 123 ms, 最高速率: 8.87 M/s, 平均速率: 5.86 M/s, 最高分辨率: 3840x2160, 平均帧率: 26.88, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 北京卫视, 有效: 5, IPv4: 442, IPv6: 0, 最小延迟: 39 ms, 最高速率: 12.32 M/s, 平均速率: 7.50 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.71, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 湖北卫视, 有效: 5, IPv4: 405, IPv6: 0, 最小延迟: 138 ms, 最高速率: 6.91 M/s, 平均速率: 5.42 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 安徽卫视, 有效: 5, IPv4: 317, IPv6: 0, 最小延迟: 123 ms, 最高速率: 4.74 M/s, 平均速率: 3.38 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 黑龙江卫视, 有效: 5, IPv4: 310, IPv6: 0, 最小延迟: 130 ms, 最高速率: 4.83 M/s, 平均速率: 4.20 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 重庆卫视, 有效: 5, IPv4: 498, IPv6: 0, 最小延迟: 110 ms, 最高速率: 5.48 M/s, 平均速率: 3.14 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 东方卫视, 有效: 5, IPv4: 386, IPv6: 0, 最小延迟: 144 ms, 最高速率: 9.35 M/s, 平均速率: 4.87 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 5, IPv4: 205, IPv6: 0, 最小延迟: 132 ms, 最高速率: 6.73 M/s, 平均速率: 5.12 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 广西卫视, 有效: 5, IPv4: 321, IPv6: 0, 最小延迟: 122 ms, 最高速率: 4.91 M/s, 平均速率: 4.05 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 东南卫视, 有效: 5, IPv4: 361, IPv6: 0, 最小延迟: 123 ms, 最高速率: 7.87 M/s, 平均速率: 5.46 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 5, IPv4: 309, IPv6: 0, 最小延迟: 127 ms, 最高速率: 7.57 M/s, 平均速率: 4.73 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 海南卫视, 有效: 5, IPv4: 283, IPv6: 0, 最小延迟: 138 ms, 最高速率: 4.36 M/s, 平均速率: 4.20 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 河北卫视, 有效: 5, IPv4: 336, IPv6: 0, 最小延迟: 144 ms, 最高速率: 4.49 M/s, 平均速率: 4.23 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 河南卫视, 有效: 5, IPv4: 370, IPv6: 0, 最小延迟: 132 ms, 最高速率: 4.80 M/s, 平均速率: 3.89 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 吉林卫视, 有效: 5, IPv4: 295, IPv6: 0, 最小延迟: 122 ms, 最高速率: 4.99 M/s, 平均速率: 4.51 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 5, IPv4: 426, IPv6: 0, 最小延迟: 137 ms, 最高速率: 4.46 M/s, 平均速率: 3.80 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
